propertyUrl,displayAddress,propertySubType,price.amount,bedrooms,addedOrReduced,addedOrReducedDate,date_sent
https://www.rightmove.co.uk/properties/154420946#/?channel=RES_BUY,"Smythe Road, Sholing, Southampton, Hampshire, SO19",Semi-Detached,140000,3,Added,31/10/2024,2024-11-03 11:19:27
https://www.rightmove.co.uk/properties/150890948#/?channel=RES_BUY,"Baddesley Road, North Baddesley, Southampton",Detached Bungalow,140000,2,Reduced,06/09/2024,2024-11-03 11:19:27
